,class,P_S1,P_S2,P_S3,P_S4,P_S5,P_S6,P_S7,P_S8,P_f1_setup,P_f3_setup,P_f4_setup,P_f5_setup,P_f8_setup,P_f9_setup,P_f15_setup,P_f21_setup,V1_S1,V1_S2,V1_S3,V1_S4,V1_S5,V1_S6,V2_S1,V2_S2,V2_S3,V2_S4,V2_S5,V2_S6,V2_S7,V3_S1,V3_S2,V3_S3,V3_S4,V3_S5,V3_S6,V4_S1,V4_S2,V4_S3,V4_S4,V4_S5,V4_S6,V4_S7,V4_S8,V4_S9,V5_S1,V5_S2,V5_S3,V5_S4,V5_S5,V5_S6,V5_S7,V5_S8,V5_S9,V5_S10,V5_S11,V6_S1,V6_S2,V6_S3,V6_S4,V6_S5,V6_S6,V6_S7,V6_S8,V6_S9,V7_S1,V7_S2,V7_S3,V7_S4,V7_S5,V7_S6,V7_S7,V7_S8,V7_S9,V8_S1,V8_S2,V8_S3,V8_S4,V8_S5,V8_S6,V8_S7,V8_S8,V8_S9,V8_S10,V9_S1,V9_S2,V9_S3,V9_S4,V9_S5,V9_S6,V9_S7,V9_S8,V9_S9,V10_S1,V10_S2,V10_S3,V10_S4,V10_S5,V10_S6,V10_S7,V10_S8,V1_f11_setup,V1_f2_setup,V1_f12_setup,V1_f6_setup,V1_f14_setup,V1_f13_setup,V2_f14_setup,V2_f11_setup,V2_f12_setup,V2_f6_setup,V2_f13_setup,V2_f17_setup,V2_f16_setup,V3_f16_setup,V3_f7_setup,V3_f11_setup,V3_f12_setup,V3_f14_setup,V3_f13_setup,V4_f7_setup,V4_f17_setup,V4_f16_setup,V4_f13_setup,V4_f19_setup,V4_f14_setup,V4_f10_setup,V4_f18_setup,V4_f12_setup,V5_f20_setup,V5_f7_setup,V5_f10_setup,V5_f18_setup,V5_f13_setup,V5_f14_setup,V5_f12_setup,V5_f19_setup,V5_f25_setup,V5_f29_setup,V5_f30_setup,V6_f20_setup,V6_f10_setup,V6_f14_setup,V6_f7_setup,V6_f12_setup,V6_f18_setup,V6_f34_setup,V6_f23_setup,V6_f31_setup,V7_f7_setup,V7_f10_setup,V7_f20_setup,V7_f23_setup,V7_f18_setup,V7_f14_setup,V7_f12_setup,V7_f40_setup,V7_f37_setup,V8_f12_setup,V8_f14_setup,V8_f43_setup,V8_f44_setup,V8_f18_setup,V8_f7_setup,V8_f10_setup,V8_f2_setup,V8_f23_setup,V8_f20_setup,V9_f10_setup,V9_f18_setup,V9_f23_setup,V9_f22_setup,V9_f20_setup,V9_f37_setup,V9_f40_setup,V9_f45_setup,V9_f48_setup,V10_f10_setup,V10_f24_setup,V10_f23_setup,V10_f18_setup,V10_f48_setup,V10_f45_setup,V10_f20_setup,V10_f22_setup
205,0,3.0,4.0,8.0,21.0,15.0,1.0,5.0,9.0,4.0,3.0,3.0,1.0,1.0,1.0,4.0,1.0,14.0,12.0,6.0,13.0,2.0,11.0,12.0,14.0,6.0,13.0,17.0,16.0,11.0,13.0,12.0,7.0,14.0,16.0,11.0,14.0,19.0,13.0,16.0,7.0,10.0,18.0,12.0,17.0,19.0,10.0,12.0,13.0,18.0,14.0,30.0,25.0,7.0,20.0,29.0,34.0,31.0,7.0,10.0,23.0,18.0,14.0,12.0,20.0,10.0,7.0,23.0,20.0,18.0,12.0,14.0,40.0,37.0,2.0,10.0,23.0,20.0,43.0,18.0,44.0,14.0,7.0,12.0,20.0,23.0,18.0,22.0,10.0,40.0,37.0,45.0,48.0,22.0,24.0,18.0,10.0,20.0,23.0,48.0,45.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
206,0,9.0,5.0,21.0,8.0,1.0,15.0,4.0,3.0,4.0,3.0,3.0,1.0,1.0,1.0,4.0,1.0,11.0,2.0,14.0,12.0,6.0,13.0,11.0,13.0,14.0,12.0,6.0,17.0,16.0,14.0,12.0,13.0,16.0,11.0,7.0,14.0,19.0,13.0,16.0,7.0,10.0,18.0,12.0,17.0,19.0,12.0,10.0,13.0,18.0,14.0,30.0,25.0,7.0,20.0,29.0,34.0,31.0,7.0,10.0,14.0,18.0,23.0,12.0,20.0,10.0,7.0,23.0,20.0,18.0,12.0,14.0,40.0,37.0,44.0,43.0,12.0,14.0,23.0,18.0,2.0,10.0,20.0,7.0,20.0,23.0,18.0,22.0,10.0,40.0,37.0,45.0,48.0,24.0,22.0,18.0,10.0,20.0,23.0,48.0,45.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
207,0,3.0,4.0,8.0,9.0,15.0,1.0,5.0,21.0,4.0,3.0,3.0,1.0,1.0,1.0,4.0,1.0,13.0,6.0,14.0,12.0,2.0,11.0,14.0,12.0,13.0,6.0,17.0,16.0,11.0,16.0,13.0,14.0,12.0,7.0,11.0,12.0,19.0,13.0,18.0,7.0,10.0,16.0,14.0,17.0,19.0,10.0,12.0,13.0,18.0,14.0,30.0,25.0,7.0,20.0,29.0,34.0,31.0,7.0,10.0,23.0,18.0,14.0,12.0,20.0,10.0,7.0,20.0,23.0,18.0,12.0,14.0,40.0,37.0,2.0,10.0,23.0,20.0,43.0,44.0,18.0,14.0,7.0,12.0,20.0,23.0,18.0,22.0,10.0,40.0,37.0,45.0,48.0,22.0,24.0,18.0,10.0,20.0,23.0,48.0,45.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
208,0,3.0,4.0,8.0,9.0,15.0,1.0,5.0,21.0,4.0,3.0,3.0,1.0,1.0,1.0,4.0,1.0,14.0,6.0,13.0,12.0,2.0,11.0,13.0,6.0,14.0,12.0,17.0,16.0,11.0,16.0,13.0,14.0,12.0,7.0,11.0,12.0,19.0,13.0,18.0,14.0,10.0,7.0,16.0,17.0,19.0,14.0,13.0,12.0,29.0,30.0,25.0,7.0,10.0,20.0,18.0,34.0,31.0,7.0,10.0,23.0,12.0,14.0,18.0,20.0,10.0,7.0,23.0,20.0,18.0,12.0,14.0,40.0,37.0,2.0,10.0,23.0,20.0,43.0,18.0,44.0,14.0,7.0,12.0,20.0,23.0,18.0,22.0,10.0,37.0,40.0,45.0,48.0,22.0,24.0,18.0,10.0,20.0,23.0,48.0,45.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
209,0,3.0,4.0,15.0,1.0,9.0,5.0,8.0,21.0,4.0,3.0,3.0,1.0,1.0,1.0,4.0,1.0,14.0,6.0,12.0,13.0,2.0,11.0,11.0,16.0,17.0,12.0,14.0,13.0,6.0,14.0,13.0,12.0,7.0,11.0,16.0,7.0,10.0,16.0,17.0,18.0,12.0,14.0,19.0,13.0,20.0,25.0,30.0,29.0,10.0,7.0,12.0,13.0,14.0,19.0,18.0,7.0,10.0,20.0,23.0,12.0,14.0,34.0,31.0,18.0,7.0,20.0,23.0,37.0,40.0,10.0,18.0,14.0,12.0,23.0,20.0,43.0,44.0,14.0,12.0,18.0,7.0,10.0,2.0,37.0,40.0,48.0,23.0,20.0,22.0,18.0,45.0,10.0,45.0,48.0,24.0,18.0,22.0,23.0,20.0,10.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
210,0,3.0,4.0,15.0,1.0,9.0,5.0,8.0,21.0,4.0,3.0,3.0,1.0,1.0,1.0,4.0,1.0,14.0,6.0,12.0,13.0,2.0,11.0,11.0,16.0,17.0,12.0,14.0,13.0,6.0,14.0,13.0,12.0,11.0,7.0,16.0,7.0,10.0,16.0,17.0,18.0,12.0,14.0,19.0,13.0,20.0,25.0,30.0,29.0,10.0,7.0,12.0,13.0,14.0,19.0,18.0,7.0,10.0,20.0,23.0,12.0,14.0,34.0,31.0,18.0,7.0,20.0,23.0,37.0,40.0,10.0,18.0,14.0,12.0,23.0,20.0,43.0,44.0,14.0,12.0,18.0,7.0,10.0,2.0,37.0,40.0,48.0,23.0,20.0,22.0,18.0,45.0,10.0,45.0,48.0,24.0,18.0,22.0,23.0,20.0,10.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
211,0,3.0,4.0,15.0,1.0,8.0,21.0,5.0,9.0,4.0,3.0,3.0,1.0,1.0,1.0,4.0,1.0,14.0,6.0,12.0,13.0,2.0,11.0,11.0,16.0,17.0,12.0,14.0,13.0,6.0,14.0,13.0,12.0,11.0,7.0,16.0,7.0,10.0,16.0,17.0,18.0,12.0,14.0,19.0,13.0,20.0,29.0,25.0,30.0,10.0,7.0,12.0,13.0,14.0,19.0,18.0,7.0,10.0,20.0,23.0,12.0,14.0,34.0,31.0,18.0,7.0,20.0,23.0,37.0,40.0,10.0,18.0,14.0,12.0,23.0,20.0,43.0,44.0,14.0,12.0,18.0,7.0,10.0,2.0,37.0,40.0,48.0,23.0,20.0,22.0,18.0,45.0,10.0,45.0,48.0,24.0,18.0,22.0,23.0,20.0,10.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
212,0,3.0,4.0,15.0,1.0,21.0,5.0,8.0,9.0,4.0,3.0,3.0,1.0,1.0,1.0,4.0,1.0,14.0,6.0,12.0,13.0,2.0,11.0,11.0,16.0,17.0,6.0,14.0,13.0,12.0,14.0,13.0,12.0,11.0,7.0,16.0,7.0,10.0,16.0,17.0,18.0,12.0,14.0,19.0,13.0,20.0,30.0,25.0,29.0,10.0,7.0,12.0,13.0,14.0,19.0,18.0,7.0,10.0,23.0,20.0,12.0,14.0,34.0,31.0,18.0,7.0,20.0,23.0,37.0,40.0,10.0,18.0,14.0,12.0,23.0,20.0,43.0,44.0,14.0,12.0,18.0,7.0,10.0,2.0,37.0,40.0,48.0,23.0,20.0,22.0,18.0,45.0,10.0,45.0,48.0,24.0,18.0,22.0,23.0,20.0,10.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
213,1,4.0,3.0,15.0,1.0,5.0,9.0,8.0,21.0,4.0,3.0,3.0,1.0,1.0,1.0,4.0,1.0,11.0,2.0,14.0,12.0,6.0,13.0,11.0,17.0,16.0,12.0,14.0,13.0,6.0,14.0,13.0,12.0,11.0,7.0,16.0,7.0,10.0,16.0,17.0,18.0,12.0,14.0,19.0,13.0,20.0,30.0,29.0,25.0,10.0,7.0,12.0,13.0,14.0,19.0,18.0,7.0,10.0,23.0,20.0,12.0,14.0,34.0,31.0,18.0,7.0,10.0,23.0,20.0,40.0,37.0,18.0,14.0,12.0,23.0,20.0,44.0,43.0,14.0,12.0,18.0,7.0,10.0,2.0,37.0,40.0,48.0,23.0,20.0,22.0,18.0,45.0,10.0,45.0,48.0,24.0,18.0,22.0,23.0,20.0,10.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
214,1,4.0,3.0,15.0,1.0,8.0,9.0,5.0,21.0,4.0,3.0,3.0,1.0,1.0,1.0,4.0,1.0,11.0,2.0,14.0,12.0,6.0,13.0,11.0,17.0,16.0,12.0,14.0,13.0,6.0,14.0,12.0,13.0,11.0,7.0,16.0,7.0,10.0,16.0,17.0,13.0,18.0,12.0,14.0,19.0,20.0,25.0,30.0,29.0,10.0,7.0,12.0,13.0,14.0,19.0,18.0,7.0,10.0,23.0,20.0,12.0,14.0,18.0,31.0,34.0,7.0,10.0,23.0,20.0,37.0,40.0,14.0,18.0,12.0,23.0,20.0,44.0,43.0,14.0,18.0,12.0,7.0,10.0,2.0,37.0,40.0,48.0,18.0,22.0,45.0,20.0,23.0,10.0,45.0,48.0,22.0,24.0,18.0,20.0,23.0,10.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
215,1,3.0,4.0,15.0,1.0,5.0,8.0,9.0,21.0,4.0,3.0,3.0,1.0,1.0,1.0,4.0,1.0,11.0,2.0,14.0,12.0,6.0,13.0,11.0,17.0,16.0,12.0,14.0,13.0,6.0,14.0,12.0,13.0,11.0,7.0,16.0,7.0,10.0,16.0,17.0,13.0,12.0,18.0,19.0,14.0,25.0,29.0,30.0,10.0,7.0,20.0,12.0,13.0,14.0,19.0,18.0,7.0,10.0,23.0,20.0,12.0,14.0,18.0,31.0,34.0,7.0,10.0,23.0,20.0,37.0,40.0,12.0,18.0,14.0,23.0,20.0,44.0,43.0,18.0,12.0,14.0,2.0,10.0,7.0,37.0,40.0,48.0,18.0,22.0,20.0,23.0,45.0,10.0,45.0,48.0,22.0,24.0,18.0,10.0,23.0,20.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
216,1,4.0,3.0,15.0,1.0,5.0,8.0,9.0,21.0,4.0,3.0,3.0,1.0,1.0,1.0,4.0,1.0,11.0,2.0,14.0,12.0,6.0,13.0,11.0,17.0,16.0,12.0,14.0,13.0,6.0,14.0,13.0,12.0,11.0,7.0,16.0,10.0,7.0,16.0,17.0,13.0,12.0,19.0,18.0,14.0,20.0,30.0,29.0,25.0,10.0,7.0,12.0,13.0,14.0,19.0,18.0,7.0,10.0,23.0,20.0,12.0,14.0,18.0,31.0,34.0,7.0,10.0,23.0,20.0,37.0,40.0,12.0,18.0,14.0,23.0,20.0,44.0,43.0,14.0,12.0,18.0,7.0,10.0,2.0,37.0,45.0,48.0,18.0,22.0,23.0,20.0,40.0,10.0,45.0,48.0,22.0,24.0,18.0,20.0,23.0,10.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
217,0,9.0,5.0,21.0,8.0,1.0,15.0,4.0,3.0,4.0,3.0,3.0,1.0,1.0,1.0,4.0,1.0,11.0,2.0,14.0,12.0,6.0,13.0,11.0,13.0,14.0,12.0,6.0,17.0,16.0,14.0,12.0,13.0,16.0,11.0,7.0,7.0,10.0,16.0,17.0,18.0,12.0,14.0,19.0,13.0,20.0,30.0,25.0,29.0,10.0,7.0,12.0,13.0,14.0,19.0,18.0,7.0,10.0,23.0,20.0,12.0,14.0,34.0,31.0,18.0,7.0,20.0,23.0,37.0,40.0,10.0,18.0,14.0,12.0,23.0,20.0,43.0,44.0,14.0,12.0,18.0,7.0,10.0,2.0,37.0,40.0,48.0,23.0,20.0,22.0,18.0,45.0,10.0,45.0,0.0,24.0,18.0,22.0,23.0,20.0,10.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,4.0,4.0,4.0
218,1,4.0,3.0,15.0,1.0,8.0,5.0,9.0,21.0,4.0,3.0,3.0,1.0,1.0,1.0,4.0,1.0,11.0,2.0,14.0,12.0,6.0,13.0,11.0,17.0,16.0,12.0,14.0,13.0,6.0,14.0,13.0,12.0,11.0,7.0,16.0,7.0,10.0,16.0,17.0,13.0,12.0,18.0,19.0,14.0,20.0,30.0,25.0,29.0,10.0,7.0,12.0,13.0,14.0,18.0,19.0,7.0,10.0,23.0,20.0,12.0,14.0,18.0,31.0,34.0,7.0,10.0,23.0,20.0,37.0,40.0,12.0,18.0,14.0,23.0,20.0,44.0,43.0,14.0,12.0,18.0,7.0,10.0,2.0,37.0,40.0,48.0,18.0,22.0,45.0,20.0,23.0,10.0,45.0,48.0,22.0,24.0,18.0,20.0,23.0,10.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
219,1,3.0,4.0,15.0,1.0,21.0,9.0,8.0,5.0,4.0,3.0,3.0,1.0,1.0,1.0,4.0,1.0,11.0,2.0,14.0,12.0,6.0,13.0,11.0,17.0,16.0,12.0,14.0,13.0,6.0,14.0,13.0,12.0,11.0,7.0,16.0,10.0,7.0,16.0,17.0,13.0,12.0,18.0,19.0,14.0,20.0,29.0,25.0,30.0,10.0,7.0,19.0,13.0,14.0,12.0,18.0,7.0,10.0,23.0,20.0,12.0,14.0,18.0,31.0,34.0,7.0,10.0,20.0,23.0,37.0,40.0,12.0,18.0,14.0,23.0,20.0,44.0,43.0,14.0,18.0,12.0,10.0,7.0,2.0,37.0,40.0,48.0,18.0,22.0,20.0,23.0,45.0,10.0,45.0,48.0,22.0,24.0,18.0,23.0,20.0,10.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
220,0,9.0,5.0,21.0,8.0,1.0,15.0,4.0,3.0,4.0,3.0,3.0,1.0,1.0,1.0,4.0,1.0,11.0,2.0,14.0,12.0,6.0,13.0,11.0,13.0,14.0,12.0,6.0,17.0,16.0,14.0,12.0,13.0,16.0,11.0,7.0,14.0,19.0,13.0,16.0,7.0,10.0,18.0,12.0,17.0,7.0,12.0,10.0,13.0,18.0,14.0,19.0,25.0,29.0,30.0,20.0,34.0,31.0,7.0,10.0,14.0,18.0,23.0,12.0,20.0,10.0,7.0,23.0,20.0,18.0,12.0,14.0,40.0,37.0,44.0,43.0,12.0,14.0,23.0,18.0,2.0,10.0,20.0,7.0,20.0,23.0,18.0,22.0,10.0,40.0,37.0,45.0,48.0,24.0,22.0,18.0,10.0,20.0,23.0,48.0,45.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
221,1,4.0,3.0,15.0,1.0,8.0,5.0,9.0,21.0,4.0,3.0,3.0,1.0,1.0,1.0,4.0,1.0,11.0,2.0,14.0,12.0,6.0,13.0,11.0,17.0,16.0,12.0,14.0,13.0,6.0,14.0,13.0,12.0,11.0,7.0,16.0,7.0,10.0,16.0,17.0,13.0,12.0,18.0,19.0,14.0,20.0,30.0,29.0,25.0,10.0,7.0,12.0,13.0,14.0,19.0,18.0,7.0,10.0,23.0,20.0,12.0,14.0,18.0,31.0,34.0,7.0,10.0,23.0,20.0,37.0,40.0,12.0,18.0,14.0,23.0,20.0,44.0,43.0,14.0,12.0,18.0,7.0,10.0,2.0,37.0,40.0,48.0,18.0,22.0,20.0,23.0,45.0,10.0,45.0,48.0,22.0,24.0,18.0,20.0,23.0,10.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
